filename,type,distorted_mae,rectified_mae,mae_improvement_percent,distorted_rmse,rectified_rmse,rmse_improvement_percent
FAMILY-31__CHILD__FM031_C3__elastic.png,elastic,9.038086,9.012157,0.2868804,22.261719,21.1813,4.853262
FAMILY-31__CHILD__FM031_C3__local.png,local,4.7604833,6.2547035,-31.387993,10.219238,13.337304,-30.511724
FAMILY-31__CHILD__FM031_C4__bending.png,bending,8.388034,5.865294,30.07546,20.54479,12.367935,39.80014
FAMILY-31__CHILD__FM031_C4__elastic.png,elastic,7.062221,7.836356,-10.961638,17.318419,19.119917,-10.402211
FAMILY-31__CHILD__FM031_C4__local.png,local,4.6070232,7.3152103,-58.783882,10.429347,16.037024,-53.76824
FAMILY-31__CHILD__FM031_C5__bending.png,bending,8.175602,5.0166216,38.639114,25.46196,15.1300955,40.57765
FAMILY-31__CHILD__FM031_C5__elastic.png,elastic,7.033462,7.1760006,-2.0265772,19.958036,19.636969,1.6087145
FAMILY-31__CHILD__FM031_C5__local.png,local,6.568001,8.248545,-25.58684,19.860601,24.377495,-22.742983
FAMILY-31__FATHER__FM031_F1__bending.png,bending,11.331055,7.6500516,32.48597,23.412884,17.170872,26.660585
FAMILY-31__FATHER__FM031_F1__elastic.png,elastic,12.798729,13.276128,-3.730049,27.200993,28.67038,-5.4019613
FAMILY-31__FATHER__FM031_F1__local.png,local,10.356286,9.315011,10.054522,21.305576,19.331264,9.266644
FAMILY-31__FATHER__FM031_F2__bending.png,bending,9.097038,6.8072186,25.171047,21.279537,14.719323,30.828745
FAMILY-31__FATHER__FM031_F2__elastic.png,elastic,10.024155,9.319077,7.0337915,23.498976,21.53721,8.348301
FAMILY-31__FATHER__FM031_F2__local.png,local,5.723792,7.511619,-31.23501,13.096688,17.137678,-30.855051
FAMILY-31__FATHER__FM031_F3__bending.png,bending,9.629205,8.495615,11.772413,21.49035,17.067354,20.581314
FAMILY-31__FATHER__FM031_F3__elastic.png,elastic,12.406987,12.102619,2.4531984,28.140316,26.889614,4.44452
FAMILY-31__FATHER__FM031_F3__local.png,local,8.860192,8.951152,-1.0266092,19.754698,18.460505,6.5513186
FAMILY-31__FATHER__FM031_F4__bending.png,bending,10.674326,6.510862,39.00447,25.054098,13.069217,47.83601
FAMILY-31__FATHER__FM031_F4__elastic.png,elastic,8.494599,9.586974,-12.859639,20.11056,22.382282,-11.296168
FAMILY-31__FATHER__FM031_F4__local.png,local,8.208924,9.074039,-10.538715,19.249453,21.638376,-12.410346
FAMILY-31__FATHER__FM031_F5__bending.png,bending,9.530991,5.541693,41.856064,25.64783,14.829436,42.180542
FAMILY-31__FATHER__FM031_F5__elastic.png,elastic,7.4122887,7.104911,4.1468678,19.747711,18.523605,6.1987224
FAMILY-31__FATHER__FM031_F5__local.png,local,6.8206515,7.945173,-16.487007,18.103077,19.928642,-10.084282
FAMILY-31__MOTHER__FM031_M1__bending.png,bending,8.375896,7.7991867,6.8853498,19.536951,17.57952,10.019127
FAMILY-31__MOTHER__FM031_M1__elastic.png,elastic,7.799127,8.415158,-7.89872,18.192518,18.589087,-2.1798427
FAMILY-31__MOTHER__FM031_M1__local.png,local,8.311344,9.28133,-11.670627,19.156578,20.380919,-6.3912272
FAMILY-31__MOTHER__FM031_M2__bending.png,bending,8.0796795,4.5257893,43.985535,21.223198,9.788315,53.879173
FAMILY-31__MOTHER__FM031_M2__elastic.png,elastic,8.255899,8.03699,2.6515496,20.73125,19.532465,5.782506
FAMILY-31__MOTHER__FM031_M2__local.png,local,5.5657487,6.036432,-8.4567795,13.269684,13.219302,0.3796749
FAMILY-31__MOTHER__FM031_M3__bending.png,bending,8.451192,4.5427294,46.24747,22.16127,9.987752,54.931496
FAMILY-31__MOTHER__FM031_M3__elastic.png,elastic,7.7328606,7.0876713,8.343475,19.589724,16.560575,15.462944
FAMILY-31__MOTHER__FM031_M3__local.png,local,5.8263116,6.8322306,-17.265108,13.647924,15.954738,-16.9023
FAMILY-31__MOTHER__FM031_M4__bending.png,bending,7.8535953,4.281987,45.477364,20.96414,8.744765,58.28703
FAMILY-31__MOTHER__FM031_M4__elastic.png,elastic,8.425263,7.3493304,12.770319,23.180855,19.191988,17.207592
FAMILY-31__MOTHER__FM031_M4__local.png,local,4.9192843,5.674127,-15.344564,12.469087,15.032294,-20.5565
FAMILY-31__MOTHER__FM031_M5__bending.png,bending,7.5776067,3.9081633,48.424835,21.826292,9.015561,58.694035
FAMILY-31__MOTHER__FM031_M5__elastic.png,elastic,6.265047,7.8000836,-24.501596,18.578598,22.89346,-23.224903
FAMILY-31__MOTHER__FM031_M5__local.png,local,4.447166,7.717534,-73.538246,12.22529,22.338242,-82.72156
FAMILY-35__CHILD__FM035_C1__bending.png,bending,10.811942,8.01702,25.850323,25.033382,17.479536,30.175093
FAMILY-35__CHILD__FM035_C1__elastic.png,elastic,10.051778,9.895448,1.5552484,22.907497,21.85541,4.5927663
FAMILY-35__CHILD__FM035_C1__local.png,local,7.5167212,8.771006,-16.686588,16.33235,18.311033,-12.115118
FAMILY-35__CHILD__FM035_C2__bending.png,bending,9.781629,5.6026587,42.72264,24.871683,13.183607,46.993507
FAMILY-35__CHILD__FM035_C2__elastic.png,elastic,8.881737,9.224988,-3.8646858,22.712973,22.300776,1.8148092
FAMILY-35__CHILD__FM035_C2__local.png,local,6.332709,10.086735,-59.279938,15.388518,23.878338,-55.169834
FAMILY-35__CHILD__FM035_C3__bending.png,bending,11.109854,5.78412,47.937027,24.883966,10.381675,58.279663
