threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,tp,fp,tn,fn
0.84,0.7933,1.0,0.5867,0.7395,1.0,0.7933,0.9813,132,0,225,93
0.85,0.7711,1.0,0.5422,0.7032,1.0,0.7711,0.9813,122,0,225,103
0.86,0.76,1.0,0.52,0.6842,1.0,0.76,0.9813,117,0,225,108
0.87,0.7556,1.0,0.5111,0.6765,1.0,0.7556,0.9813,115,0,225,110
0.88,0.7422,1.0,0.4844,0.6527,1.0,0.7422,0.9813,109,0,225,116
0.89,0.7222,1.0,0.4444,0.6154,1.0,0.7222,0.9813,100,0,225,125
0.9,0.7089,1.0,0.4178,0.5893,1.0,0.7089,0.9813,94,0,225,131
0.91,0.6978,1.0,0.3956,0.5669,1.0,0.6978,0.9813,89,0,225,136
0.92,0.6778,1.0,0.3556,0.5246,1.0,0.6778,0.9813,80,0,225,145
0.93,0.6644,1.0,0.3289,0.495,1.0,0.6644,0.9813,74,0,225,151
0.94,0.6378,1.0,0.2756,0.4321,1.0,0.6378,0.9813,62,0,225,163
0.95,0.6111,1.0,0.2222,0.3636,1.0,0.6111,0.9813,50,0,225,175
