family,member,image,distortion_type,clean_count,distorted_count,rectified_count,clean_quality,distorted_quality,rectified_quality,clean_endings,distorted_endings,rectified_endings,clean_bifurcations,distorted_bifurcations,rectified_bifurcations,distorted_matched,rectified_matched,distorted_match_rate,rectified_match_rate,distorted_mean_distance,rectified_mean_distance,distorted_median_distance,rectified_median_distance
FAMILY-42,MOTHER,FM042_M2.png,bending,1,4,2,0.4950000047683716,0.4399999976158142,0.38499999046325684,1,3,1,0,1,1,1,0,1.0,0.0,8.062257766723633,,8.062257766723633,
FAMILY-42,MOTHER,FM042_M3.png,bending,9,1,4,0.4705555737018585,0.4950000047683716,0.4399999976158142,8,1,3,1,0,1,1,2,0.1111111111111111,0.2222222222222222,7.0,13.658910751342773,7.0,13.658910751342773
FAMILY-42,MOTHER,FM042_M4.png,bending,11,6,5,0.5199999809265137,0.32999998331069946,0.45100003480911255,10,2,4,1,4,1,1,0,0.09090909090909091,0.0,9.219544410705566,,9.219544410705566,
FAMILY-42,MOTHER,FM042_M5.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-48,CHILD,FM048_C1.png,bending,9,2,3,0.3605555593967438,0.38499999046325684,0.4216666519641876,4,1,2,5,1,1,2,0,0.2222222222222222,0.0,10.44710922241211,,10.44710922241211,
FAMILY-48,CHILD,FM048_C2.png,bending,21,15,15,0.447857141494751,0.3956333100795746,0.4172666668891907,13,8,8,8,7,7,12,6,0.5714285714285714,0.2857142857142857,7.835599929094315,10.10781216621399,7.936253786087036,9.3064284324646
FAMILY-48,CHILD,FM048_C3.png,bending,2,2,1,0.4950000047683716,0.6324999928474426,0.9900000095367432,2,1,1,0,1,0,0,0,0.0,0.0,,,,
FAMILY-48,CHILD,FM048_C4.png,bending,2,0,1,0.38499999046325684,,0.2750000059604645,1,0,0,1,0,1,0,0,0.0,0.0,,,,
FAMILY-48,CHILD,FM048_C5.png,bending,5,4,2,0.3190000057220459,0.38499999046325684,0.4950000047683716,1,2,2,4,2,0,3,0,0.6,0.0,2.441518465677897,,3.1622776985168457,
FAMILY-48,FATHER,FM048_F1.png,bending,33,19,7,0.47733333706855774,0.43073683977127075,0.3724285960197449,29,13,4,4,6,3,11,3,0.3333333333333333,0.09090909090909091,7.383902029557661,9.545530796051025,7.6157732009887695,8.0
FAMILY-48,FATHER,FM048_F2.png,bending,11,8,6,0.5019999742507935,0.4399999976158142,0.4583333432674408,10,6,5,1,2,1,4,4,0.36363636363636365,0.36363636363636365,5.9861732721328735,7.637814164161682,7.671183824539185,8.734105348587036
FAMILY-48,FATHER,FM048_F3.png,bending,2,0,1,0.38499999046325684,,0.4950000047683716,1,0,1,1,0,0,0,0,0.0,0.0,,,,
FAMILY-48,FATHER,FM048_F4.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-48,FATHER,FM048_F5.png,bending,1,3,3,0.4950000047683716,0.34833332896232605,0.34833332896232605,1,1,1,0,2,2,0,0,0.0,0.0,,,,
FAMILY-48,MOTHER,FM048_M1.png,bending,10,5,3,0.4509999752044678,0.36299997568130493,0.3630000054836273,8,2,3,2,3,0,1,0,0.1,0.0,3.0,,3.0,
FAMILY-48,MOTHER,FM048_M2.png,bending,0,3,5,,0.2750000059604645,0.3189999759197235,0,0,1,0,3,4,0,0,0.0,0.0,,,,
FAMILY-48,MOTHER,FM048_M3.png,bending,1,1,1,0.2750000059604645,0.2750000059604645,0.2750000059604645,0,0,0,1,1,1,0,1,0.0,1.0,,4.0,,4.0
FAMILY-48,MOTHER,FM048_M4.png,bending,8,1,2,0.2887499928474426,0.2750000059604645,0.38499999046325684,1,0,1,7,1,1,0,0,0.0,0.0,,,,
FAMILY-48,MOTHER,FM048_M5.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-54,CHILD,FM054_C1.png,bending,3,7,4,0.4950000047683716,0.4635713994503021,0.4950000047683716,3,6,4,0,1,0,3,3,1.0,1.0,5.333333333333333,9.763054847717285,4.0,9.848857879638672
FAMILY-54,CHILD,FM054_C2.png,bending,0,2,1,,0.4950000047683716,0.4950000047683716,0,2,1,0,0,0,0,0,0.0,0.0,,,,
FAMILY-54,CHILD,FM054_C3.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-54,CHILD,FM054_C4.png,bending,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,,,,
FAMILY-54,CHILD,FM054_C5.png,bending,8,10,2,0.4399999976158142,0.42899999022483826,0.4950000047683716,6,7,2,2,3,0,4,2,0.5,0.25,5.846703290939331,6.0,6.662277698516846,6.0
FAMILY-54,FATHER,FM054_F1.png,bending,12,12,2,0.46291670203208923,0.4399999678134918,0.38499999046325684,8,9,1,4,3,1,4,2,0.3333333333333333,0.16666666666666666,5.126584410667419,11.02246642112732,5.590891122817993,11.02246642112732
FAMILY-54,FATHER,FM054_F2.png,bending,4,1,0,0.33000001311302185,0.4950000047683716,,1,1,0,3,0,0,0,0,0.0,0.0,,,,
FAMILY-54,FATHER,FM054_F3.png,bending,0,6,3,,0.4583333432674408,0.4950000047683716,0,5,3,0,1,0,0,0,0.0,0.0,,,,
FAMILY-54,FATHER,FM054_F4.png,bending,2,3,1,0.4950000047683716,0.2750000059604645,0.9900000095367432,2,0,1,0,3,0,0,0,0.0,0.0,,,,
FAMILY-54,FATHER,FM054_F5.png,bending,12,8,3,0.34833332896232605,0.38499999046325684,0.4216666519641876,4,4,2,8,4,1,3,1,0.25,0.08333333333333333,10.3819899559021,3.605551242828369,10.29563045501709,3.605551242828369
FAMILY-54,MOTHER,FM054_M1.png,bending,65,58,48,0.4269692301750183,0.3772241771221161,0.3817916810512543,42,32,28,23,26,20,30,27,0.46153846153846156,0.4153846153846154,7.577806305885315,8.782701081699795,7.071067810058594,9.486832618713379
FAMILY-54,MOTHER,FM054_M2.png,bending,50,39,39,0.4171200692653656,0.3912050724029541,0.4050256013870239,35,23,24,15,16,15,21,13,0.42,0.26,9.487580753508068,8.991189589867226,10.0,8.062257766723633
FAMILY-54,MOTHER,FM054_M3.png,bending,43,18,9,0.375279039144516,0.3605555295944214,0.34833329916000366,21,7,3,22,11,6,12,7,0.27906976744186046,0.16279069767441862,6.765217105547587,7.748094763074603,5.049509763717651,7.8102498054504395
